Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Prognostic p-value	RNA cancer category	RNA tissue category	RNA TS	RNA TS TPM	TPM max in non-specific	RNA cell line category	RNA CS	RNA CS TPM
A1BG		ENSG00000121410	Alpha-1-B glycoprotein	19	58345178-58353499	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	CAB016673, HPA044252	Supported				Liver cancer:3.97e-4 (favourable)	Tissue enriched	Tissue enriched	331	liver: 505.6	fallopian tube: 1.5	Cell line enhanced		HEK 293: 2.2;REH: 3.0
A2M	CPAMD5, FWP007, S863-7	ENSG00000175899	Alpha-2-macroglobulin	12	9067664-9116229	Cancer-related genes, Candidate cardiovascular disease genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	HPA002265, CAB017621	Supported					Expressed in all	Expressed in all			lung: 1920.7	Cell line enhanced		AF22: 726.1;ASC diff: 146.4;Hep G2: 419.1;SK-MEL-30: 170.2
A2ML1	CPAMD9, FLJ25179, p170	ENSG00000166535	Alpha-2-macroglobulin like 1	12	8822472-8887001	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA038847, HPA038848	Enhanced					Tissue enhanced	Tissue enriched	6	esophagus: 479.2	skin: 85.5	Cell line enhanced		HMC-1: 9.6;hTCEpi: 3.9;SK-BR-3: 10.3
AADACL2	MGC72001	ENSG00000197953	Arylacetamide deacetylase like 2	3	151733916-151761339	Predicted secreted proteins	Evidence at transcript level							Not detected	Tissue enriched	14	skin: 31.1	breast: 2.3	Not detected		
ABAT	GABAT	ENSG00000183044	4-aminobutyrate aminotransferase	16	8674565-8784575	Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA041528, HPA041690	Enhanced	Supported	Supported	Mitochondria	Renal cancer:5.44e-8 (favourable), Liver cancer:5.36e-5 (favourable), Lung cancer:5.93e-4 (favourable)	Expressed in all	Tissue enhanced		cerebral cortex: 164.5;kidney: 135.3;liver: 175.2	thyroid gland: 47.5	Cell line enhanced		Hep G2: 83.0;MCF7: 60.0;RH-30: 64.1;T-47d: 39.1
ABHD1	FLJ36128, LABH1	ENSG00000143994	Abhydrolase domain containing 1	2	27123789-27130812	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA044390	Uncertain					Mixed	Tissue enriched	17	testis: 30.0	liver: 1.7	Cell line enhanced		RPMI-8226: 1.1;T-47d: 3.0;U-266/70: 2.4;U-266/84: 1.9
ABHD10	FLJ11342	ENSG00000144827	Abhydrolase domain containing 10	3	111979010-111993363	Enzymes, Predicted secreted proteins	Evidence at protein level	HPA036991, HPA036992, HPA066081	Supported		Approved	Mitochondria	Renal cancer:4.72e-9 (favourable), Cervical cancer:7.57e-4 (favourable)	Expressed in all	Expressed in all			epididymis: 62.1	Expressed in all		
ABHD14A-ACY1		ENSG00000114786	ABHD14A-ACY1 readthrough	3	51974706-51989183	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA036174, HPA036175, HPA038153	Approved		Uncertain	Vesicles		Not detected	Tissue enhanced		small intestine: 1.7	kidney: 0.7	Cell line enhanced		HUVEC TERT2: 1.3;SH-SY5Y: 1.3
ABHD15		ENSG00000168792	Abhydrolase domain containing 15	17	29560547-29567137	Predicted secreted proteins	Evidence at protein level	HPA014470	Approved		Approved	Nucleoplasm<br>Cytosol		Expressed in all	Mixed			adipose tissue: 20.5	Mixed		
ABI3BP	DKFZP586L2024, NESHBP, TARSH	ENSG00000154175	ABI family member 3 binding protein	3	100749156-100993515	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA044127	Uncertain				Renal cancer:6.14e-4 (favourable)	Mixed	Mixed			gallbladder: 158.4	Cell line enhanced		hTEC/SVTERT24-B: 841.3;hTERT-HME1: 650.5;TIME: 1525.7
