"Gene","Plate number","Well number","Clone ID","ORF_length","Trans_mem_ref_acc","Other_acc","Definition","Accession","Protein","LocusLink ID","Unigene ID","Gene synonym","Ensembl","Gene description","Chromosome","Position","Protein class","Evidence","Antibody","Reliability (IH)","Reliability (Mouse Brain)","Reliability (IF)","Subcellular location","Prognostic p-value","RNA cancer category","RNA tissue category","RNA TS","RNA TS TPM","TPM max in non-specific","RNA cell line category","RNA CS","RNA CS TPM"
"A2M",72,"F12","IOH26170",4425,"0",NA,"alpha-2-macroglobulin, mRNA (cDNA clone MGC:47683 IMAGE:6056126), complete cds","BC040071.1","AAH40071.1",2,"Hs.212838","CPAMD5, FWP007, S863-7","ENSG00000175899","Alpha-2-macroglobulin","12","9067664-9116229","Cancer-related genes, Candidate cardiovascular disease genes, Plasma proteins, Predicted secreted proteins","Evidence at protein level","HPA002265, CAB017621","Supported",NA,NA,NA,NA,"Expressed in all","Expressed in all",NA,NA,"lung: 1920.7","Cell line enhanced",NA,"AF22: 726.1;ASC diff: 146.4;Hep G2: 419.1;SK-MEL-30: 170.2"
"AADACL2",93,"F7","IOH40762",1140,"0",NA,"arylacetamide deacetylase-like 2, mRNA (cDNA clone MGC:72001 IMAGE:6663150), complete cds","BC065724.1","AAH65724.1",344752,"Hs.144710","MGC72001","ENSG00000197953","Arylacetamide deacetylase like 2","3","151733916-151761339","Predicted secreted proteins","Evidence at transcript level",NA,NA,NA,NA,NA,NA,"Not detected","Tissue enriched",14,"skin: 31.1","breast: 2.3","Not detected",NA,NA
"ABAT",18,"H12","IOH13638",1503,"0",NA,"4-aminobutyrate aminotransferase (ABAT), nuclear gene encoding mitochondrial protein, transcript variant 2, mRNA.","NM_000663.4","NP_000654.2",18,"Hs.336768","GABAT","ENSG00000183044","4-aminobutyrate aminotransferase","16","8674565-8784575","Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins","Evidence at protein level","HPA041528, HPA041690","Enhanced","Supported","Supported","Mitochondria","Renal cancer:5.44e-8 (favourable), Liver cancer:5.36e-5 (favourable), Lung cancer:5.93e-4 (favourable)","Expressed in all","Tissue enhanced",NA,"cerebral cortex: 164.5;kidney: 135.3;liver: 175.2","thyroid gland: 47.5","Cell line enhanced",NA,"Hep G2: 83.0;MCF7: 60.0;RH-30: 64.1;T-47d: 39.1"
"ABAT",54,"B12","IOH22724",1503,"0",NA,"4-aminobutyrate aminotransferase, mRNA (cDNA clone MGC:35480 IMAGE:5195212), complete cds","BC031413.1","AAH31413.1",18,"Hs.336768","GABAT","ENSG00000183044","4-aminobutyrate aminotransferase","16","8674565-8784575","Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins","Evidence at protein level","HPA041528, HPA041690","Enhanced","Supported","Supported","Mitochondria","Renal cancer:5.44e-8 (favourable), Liver cancer:5.36e-5 (favourable), Lung cancer:5.93e-4 (favourable)","Expressed in all","Tissue enhanced",NA,"cerebral cortex: 164.5;kidney: 135.3;liver: 175.2","thyroid gland: 47.5","Cell line enhanced",NA,"Hep G2: 83.0;MCF7: 60.0;RH-30: 64.1;T-47d: 39.1"
"ABHD1",66,"A3","IOH28775",1218,"0",NA,"abhydrolase domain containing 1 (ABHD1), mRNA.","NM_032604.3","NP_115993.3",84696,"Hs.375791","FLJ36128, LABH1","ENSG00000143994","Abhydrolase domain containing 1","2","27123789-27130812","Predicted membrane proteins, Predicted secreted proteins","Evidence at protein level","HPA044390","Uncertain",NA,NA,NA,NA,"Mixed","Tissue enriched",17,"testis: 30.0","liver: 1.7","Cell line enhanced",NA,"RPMI-8226: 1.1;T-47d: 3.0;U-266/70: 2.4;U-266/84: 1.9"
"ABHD10",55,"D4","IOH22907",921,"0",NA,"abhydrolase domain containing 10 (ABHD10), mRNA.","NM_018394.2","NP_060864.1",55347,"Hs.708240","FLJ11342","ENSG00000144827","Abhydrolase domain containing 10","3","111979010-111993363","Enzymes, Predicted secreted proteins","Evidence at protein level","HPA036991, HPA036992, HPA066081","Supported",NA,"Approved","Mitochondria","Renal cancer:4.72e-9 (favourable), Cervical cancer:7.57e-4 (favourable)","Expressed in all","Expressed in all",NA,NA,"epididymis: 62.1","Expressed in all",NA,NA
"ABI3BP",72,"C11","IOH27300",3228,"0",NA,"ABI family, member 3 (NESH) binding protein (ABI3BP), mRNA.","NM_015429.3","NP_056244.2",25890,"Hs.477015","DKFZP586L2024, NESHBP, TARSH","ENSG00000154175","ABI family member 3 binding protein","3","100749156-100993515","Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins","Evidence at protein level","HPA044127","Uncertain",NA,NA,NA,"Renal cancer:6.14e-4 (favourable)","Mixed","Mixed",NA,NA,"gallbladder: 158.4","Cell line enhanced",NA,"hTEC/SVTERT24-B: 841.3;hTERT-HME1: 650.5;TIME: 1525.7"
"ACAN",69,"C10","IOH22274",2166,"0",NA,"aggrecan, mRNA (cDNA clone IMAGE:4823544), complete cds.","BC036445.1","AAH36445.1",176,"Hs.2159","AGC1, CSPG1, CSPGCP, MSK16","ENSG00000157766","Aggrecan","15","88803443-88875354","Predicted intracellular proteins, Predicted secreted proteins","Evidence at protein level","CAB016377, HPA038241, HPA038242","Enhanced",NA,NA,NA,"Renal cancer:1.47e-6 (unfavourable)","Mixed","Tissue enhanced",NA,"seminal vesicle: 5.0","testis: 3.3","Cell line enriched",5,"WM-115: 28.1"
"ACP2",92,"H9","IOH5120",1272,"NP_001601.1","AAH03160.1","acid phosphatase 2, lysosomal, mRNA (cDNA clone MGC:4215 IMAGE:2957907), complete cds","BC003160.1","AAH03160.1",53,"Hs.532492","LAP","ENSG00000134575","Acid phosphatase 2, lysosomal","11","47239302-47248906","Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins, Predicted secreted proteins","Evidence at protein level",NA,NA,NA,NA,NA,"Endometrial cancer:1.04e-4 (favourable)","Expressed in all","Expressed in all",NA,NA,"duodenum: 41.2","Expressed in all",NA,NA
"ACP5",2,"D10","IOH14225",978,"0",NA,"acid phosphatase 5, tartrate resistant (ACP5), transcript variant 4, mRNA.","NM_001611.3","NP_001602.1",54,"Hs.1211","HPAP, TRAP","ENSG00000102575","Acid phosphatase 5, tartrate resistant","19","11574660-11579008","Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins","Evidence at protein level","CAB002584, HPA057655, HPA059463","Enhanced",NA,"Approved","Cytosol",NA,"Expressed in all","Tissue enhanced",NA,"lung: 254.0","lymph node: 86.3","Cell line enhanced",NA,"BEWO: 36.2;SK-MEL-30: 85.3;U-138 MG: 97.5"
